['Other Economic Sector', 'Certified', '90006', 'MAGTRANS, INC', 'Financial Managers', 'ARGENTINA']
['Other Economic Sector', 'Certified', '90001', 'SUN-LITE METALS, INC.', 'First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand', 'MEXICO']
['Other Economic Sector', 'Certified', '90025', 'CBRE, INC', 'Financial Managers', 'INDIA']
['Retail', 'Certified', '90010', 'KONOVA INTERNATIONAL, INC.', 'Market Research Analysts and Marketing Specialists*', 'SOUTH KOREA']
['IT', 'Certified', '90066', 'ILSLEY MUSIC', 'Music Directors and Composers', 'GERMANY']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90005', 'AMERICAN VOCATIONAL COLLEGE, INC.', 'Accountants and Auditors', 'SOUTH KOREA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Advanced Mfg', 'Certified', '90015', 'HERBALIFE INTERNATIONAL', 'Software Developers, Applications', 'INDIA']
['Other Economic Sector', 'Certified', '90010', 'KOREANAUSA,INC', 'Reporters and Correspondents', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90021', 'KEYSTONE TEXTILE, INC.', 'Budget Analysts', 'SOUTH KOREA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Mechanical Engineers', 'SOUTH AFRICA']
['IT', 'Certified', '90045', 'SECURONIX, LLC', 'Software Developers, Applications', 'INDIA']
['Health Care', 'Certified', '90031', 'ABACUS BUSINESS CORPORATION GROUP INC.', 'Medical and Clinical Laboratory Technologists', 'PHILIPPINES']
['Other Economic Sector', 'Certified', '90005', 'KBS AMERICA, INC.', 'Computer Systems Analysts', 'SOUTH KOREA']
['Other Economic Sector', 'Certified', '90045', 'PRIMEX INTERNATIONAL TRADING CORP.', 'Human Resources Managers', 'CANADA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Aerospace', 'Certified', '90071', 'AECOM TECHNOLOGY CORPORATION', 'Software Developers, Applications', 'INDIA']
['Other Economic Sector', 'Certified', '90021', 'HANKOOK TRADING, INC.', 'Fashion Designers', 'SOUTH KOREA']
['Aerospace', 'Certified', '90071', 'AECOM TECHNICAL SERVICES, INC.', 'Civil Engineers', 'MALDIVES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Other Economic Sector', 'Certified', '90045', 'MOBILE MESSENGER GLOBAL, INC', 'Software Developers, Applications', 'INDIA']
['Other Economic Sector', 'Certified', '90071', 'PAUL HASTINGS LLP', 'Lawyers', 'SOUTH KOREA']
['Retail', 'Certified', '90040', 'FIRST IMPERIAL TRADING CO.', 'Computer and Information Systems Managers', 'INDIA']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Special Education Teachers, Preschool, Kindergarten, and Elementary School*', 'PHILIPPINES']
['Educational Services', 'Certified', '90017', 'LOS ANGELES UNIFIED SCHOOL DISTRICT', 'Secondary School Teachers, Except Special and Career/Technical Education', 'PHILIPPINES']
['Educational Services', 'Certified', '90065', 'RIBET ACADEMY', 'Middle School Teachers, Except Special and Career/Technical Education', 'UNITED KINGDOM']
['Finance', 'Certified', '90071', 'KALMAN MANAGEMENT', 'Public Relations Specialists', 'POLAND']
['IT', 'Certified', '90058', 'LINKEDGE TECHNOLOGIES INC.', 'Computer and Information Systems Managers', 'INDIA']
