Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,CHINA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
IT,Certified,77024,PARADIGM GEOPHYSICAL CORP,Software Developers; Systems Software,ISRAEL
Energy,Certified,77079,CONOCOPHILLIPS COMPANY,Geoscientists; Except Hydrologists and Geographers,CHINA
Aerospace,Certified,77079,2H OFFSHORE INC.,Marine Engineers and Naval Architects,CHINA
Finance,Certified,77056,TRANSNETWORK CORPORATION,Financial Managers,MEXICO
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
IT,Certified,77042,YALTECH CONSULTING INC,Software Developers; Applications,INDIA
Aerospace,Certified,77042,HALLIBURTON ENERGY SERVICES; INC.,Petroleum Engineers,MEXICO
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,77099,ASHE SKIN CARE INC.,Customer Service Representatives,BANGLADESH
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,SOUTH KOREA
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,CHINA
IT,Certified,77024,PARADIGM GEOPHYSICAL CORP,Sales Engineers,LEBANON
Aerospace,Certified,77002,KBR TECHNICAL SERVICES; INC.,Industrial Engineers,INDIA
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,INDIA
Advanced Mfg,Certified,77079,FLOATEC; LLC DBA FLOATEC SOLUTIONS; LLC,Marine Engineers and Naval Architects,INDIA
Energy,Certified,77067,NABORS CORPORATE SERVICES; INC.,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,77042,DRESSER-RAND COMPANY,Mechanical Engineers,CANADA
Advanced Mfg,Certified,77072,MENS WEARHOUSE; INC.,Software Developers; Applications,INDIA
IT,Certified,77024,PARADIGM GEOPHYSICAL CORP,Sales Engineers,CANADA
Advanced Mfg,Certified,77027,MAVERICK TUBE CORPORATION,Computer Systems Analysts,UNITED KINGDOM
Energy,Certified,77079,CONOCOPHILLIPS COMPANY,Geoscientists; Except Hydrologists and Geographers,SOUTH KOREA
Aerospace,Certified,77060,AMERICAN BUREAU OF SHIPPING,Mechanical Engineers,CHINA
Energy,Certified,77036,NATIONAL OILWELL VARCO; L.P.,Software Developers; Systems Software,INDIA
Energy,Certified,77041,VENMAR; INC,Architectural and Engineering Managers,VENEZUELA
Transportation,Certified,77060,INTERMARINE; LLC,Marketing Managers,FRANCE
Not Available,Certified,77002,SHELL OIL COMPANY,Petroleum Engineers,INDIA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Industrial Engineers,INDIA
IT,Certified,77057,FLEXERA GLOBAL; INC,Management Analysts,INDIA
Aerospace,Certified,77079,WORLEYPARSONS GROUP; INC.,Electrical Engineers,SYRIA
Energy,Certified,77042,LANDMARK GRAPHICS CORPORATION,Software Developers; Applications,INDIA
IT,Certified,77042,BITSOFCODE SOFTWARE SYSTEMS; INC.,Computer Systems Analysts,INDIA
Energy,Certified,77046,OCCIDENTAL OIL AND GAS,Petroleum Engineers,INDIA
IT,Certified,77072,LMK RESOURCES; INC,Computer Systems Analysts,PAKISTAN
IT,Certified,77072,LMK RESOURCES; INC,Computer Systems Analysts,PAKISTAN
IT,Certified,77069,BIZTEON INC.,Software Developers; Applications,INDIA
IT,Certified,77069,BIZTEON INC.,Software Developers; Applications,INDIA
IT,Certified,77069,BIZTEON INC.,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Electronics Engineers; Except Computer,INDIA
Other Economic Sector,Certified,77077,BIOURJA TRADING; LLC,Financial Managers,CANADA
Advanced Mfg,Certified,77041,TOSHIBA INTERNATIONAL CORPORATION,Training and Development Specialists,CANADA
IT,Certified,77042,INTERACTIVE NETWORK TECHNOLOGIES; INC. (INT; INC.),Software Developers; Applications,FRANCE
Hospitality,Certified,77072,THAI COTTAGE II; INC.,Management Analysts,THAILAND
Finance,Certified,77027,RJA LTD.,Financial Managers,CANADA
IT,Certified,77046,FUELQUEST; INC.,Computer Systems Analysts,INDIA
Aerospace,Certified,77064,ARCHER MANAGEMENT (US) LLC,Accountants and Auditors,INDIA
Advanced Mfg,Certified,77064,FOXCONN ASSEMBLY LLC,Production; Planning; and Expediting Clerks,TAIWAN
Energy,Certified,77041,SUBSEA 7 (US) L.L.C.,Logisticians,UNITED KINGDOM
Energy,Certified,77079,CONOCOPHILLIPS COMPANY,Geoscientists; Except Hydrologists and Geographers,NEPAL
Construction,Certified,77055,RAMCO ERECTORS; INC.,First-Line Supervisors of Construction Trades and Extraction Workers,HONDURAS
Aerospace,Certified,77079,WORLEYPARSONS GROUP; INC.,Architectural and Engineering Managers,CANADA
IT,Certified,77042,INTERACTIVE NETWORK TECHNOLOGIES; INC. (INT; INC.),Software Developers; Applications,FRANCE
IT,Certified,77042,INTERACTIVE NETWORK TECHNOLOGIES; INC. (INT; INC.),Software Developers; Applications,FRANCE
IT,Certified,77068,CYBERSOFT TECHNOLOGIES; INC,Software Developers; Applications,INDIA
IT,Certified,77042,INTERACTIVE NETWORK TECHNOLOGIES; INC. (INT; INC.),Software Developers; Applications,FRANCE
Aerospace,Certified,77042,COMMONWEALTH ENGINEERING AND CONSTRUCTION; LLC,Chemical Engineers,INDIA
Aerospace,Certified,77064,ARCHER MANAGEMENT (US) LLC,Chief Executives,UNITED KINGDOM
Educational Services,Certified,77084,THE REACH GROUP AMERICAS; LLC,General and Operations Managers,CANADA
Not Available,Certified,77010,HESS CORPORATION,Architectural and Engineering Managers,UNITED KINGDOM
Advanced Mfg,Certified,77072,MENS WEARHOUSE; INC.,Software Developers; Systems Software,INDIA
IT,Certified,77042,BITSOFCODE SOFTWARE SYSTEMS; INC.,Industrial Engineers,INDIA
IT,Certified,77042,INFODAT INTERNATIONAL INC.,Software Developers; Applications,INDIA
Other Economic Sector,Certified,77056,ARGUS MEDIA; INC.,Marketing Managers,MEXICO
IT,Certified,77042,SUNGARD CONSULTING SERVICES LLC,Computer and Information Systems Managers,INDIA
Energy,Certified,77060,HELIX ENERGY SOLUTIONS GROUP INC.,Architectural and Engineering Managers,NETHERLANDS
Construction,Certified,77041,VERSABAR; INC,Architectural and Engineering Managers,HONG KONG
Aerospace,Certified,77079,TECHNIP USA; INC.,Mechanical Engineers,FRANCE
Aerospace,Certified,77079,TECHNIP USA; INC.,Mechanical Engineers,PHILIPPINES
Other Economic Sector,Certified,77002,USA WASTE MANAGEMENT RESOURCES; LLC,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77072,MENS WEARHOUSE; INC.,Software Developers; Applications,INDIA
Not Available,Certified,77002,SHELL OIL COMPANY,Software Developers; Applications,CANADA
Automotive,Certified,77011,PENAS TRANSMISSION INC,Automotive Service Technicians and Mechanics,MEXICO
Advanced Mfg,Certified,77027,CORSICANA TECHNOLOGIES,Sales Engineers,UNITED KINGDOM
Advanced Mfg,Certified,77002,USA WASTE MANAGEMENT RESOURCES; LLC,Software Developers; Applications,INDIA
Construction,Certified,77002,VESTAS TECHNOLOGY R&D AMERICAS; INC.,Mechanical Engineers,INDIA
Aerospace,Certified,77079,WORLEYPARSONS GROUP; INC.,Mechanical Engineers,INDIA
Other Economic Sector,Certified,77036,HASAN INTERNATIONAL; INC.,Financial Managers,PAKISTAN
Finance,Certified,77056,STEWART TITLE GUARANTY COMPANY,Software Developers; Applications,INDIA
Energy,Certified,77073,SMITH INTERNATIONAL; INC.,Materials Engineers,INDIA
Not Available,Certified,77002,SHELL OIL COMPANY,Chemical Engineers,CANADA
Aerospace,Certified,77031,TELLUS OILFIELD; INC.,Mechanical Engineers,INDIA
Educational Services,Certified,77081,AMIGOS POR VIDA FRIENDS FOR LIFE HOUSING AND EDUCATION CORP.,Elementary School Teachers; Except Special Education,COLOMBIA
Aerospace,Certified,77042,HALLIBURTON ENERGY SERVICES; INC.,Accountants and Auditors,CHINA
Energy,Certified,77041,W-INDUSTRIES,Electrical Engineers,INDIA
Energy,Certified,77041,W-INDUSTRIES,Electrical Engineers,INDIA
Energy,Certified,77046,OCCIDENTAL OIL AND GAS,Petroleum Engineers,INDIA
Other Economic Sector,Certified,77046,ENAXIS CONSULTING,Management Analysts,INDIA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Software Developers; Systems Software,INDIA
Aerospace,Certified,77042,HALLIBURTON ENERGY SERVICES; INC.,Mechanical Engineers,VENEZUELA
Not Available,Certified,77002,SHELL OIL COMPANY,Geoscientists; Except Hydrologists and Geographers,TURKEY
Not Available,Certified,77002,SHELL OIL COMPANY,Geoscientists; Except Hydrologists and Geographers,UNITED KINGDOM
Educational Services,Certified,77030,BAYLOR COLLEGE OF MEDICINE,Physicians and Surgeons; All Other,CANADA
Aerospace,Certified,77081,PEGASUS INTERNATIONAL; INC.,Civil Engineers,CHINA
Not Available,Certified,77002,SHELL OIL COMPANY,Chemical Engineers,CHINA
Not Available,Certified,77002,SHELL OIL COMPANY,Chemical Engineers,SOUTH KOREA
Aerospace,Certified,77056,CB&I INC,Mechanical Engineers,SRI LANKA
Aerospace,Certified,77002,KBR TECHNICAL SERVICES; INC.,Civil Engineers,TAIWAN
Not Available,Certified,77002,SHELL OIL COMPANY,Architectural and Engineering Managers,CANADA
Aerospace,Certified,77074,AMANI ENGINEERING; INC.,Civil Engineers,INDIA
IT,Certified,77036,CHANG - SHENG; INC.,Advertising and Promotions Managers,CHINA
Advanced Mfg,Certified,77067,FMC TECHNOLOGIES,Mechanical Engineers,INDIA
Not Available,Certified,77002,SHELL OIL COMPANY,Geoscientists; Except Hydrologists and Geographers,ITALY
Advanced Mfg,Certified,77056,AIR LIQUIDE LARGE INDUSTRIES U.S. LP,Financial Managers,SRI LANKA
IT,Certified,77099,KOMPUTER+ PERIPHERALS; INC.,Computer Systems Analysts,PHILIPPINES
Aerospace,Certified,77056,CB&I INC,Civil Engineers,COLOMBIA
Aerospace,Certified,77094,DMAR ENGINEERING; INC.,Mechanical Engineers,CHINA
Aerospace,Certified,77042,AKER SUBSEA INC.,Electronics Engineers; Except Computer,INDONESIA
Aerospace,Certified,77054,ASSOCIATED TESTING LABORATORIES INC.,Environmental Scientists and Specialists; Including Health,INDIA
Aerospace,Certified,77054,ASSOCIATED TESTING LABORATORIES INC.,Environmental Scientists and Specialists; Including Health,INDIA
Advanced Mfg,Certified,77056,WEATHERFORD INTERNATIONAL,Mechanical Engineers,INDIA
IT,Certified,77077,EZ2 TECHNOLOGIES; INC,Computer Systems Analysts,INDIA
Construction,Certified,77002,VESTAS TECHNOLOGY R&D AMERICAS; INC.,Electrical Engineers,CHINA
Aerospace,Certified,77084,MUSTANG ENGINEERING; L.P.,Architectural and Engineering Managers,VENEZUELA
Finance,Certified,77002,DB ENERGY TRADING LLC,Securities; Commodities; and Financial Services Sales Agents,INDIA
Transportation,Certified,77032,LESCHACO; INC.,Cargo and Freight Agents,GERMANY
Advanced Mfg,Certified,77027,CAMERON INTERNATIONAL CORPORATION,General and Operations Managers,VENEZUELA
Finance,Certified,77040,HCC SERVICE COMPANY,Software Developers; Applications,INDIA
IT,Certified,77041,PERIPHERAL COMPUTER SUPPORT; INC.,Software Developers; Applications,MALAYSIA
Educational Services,Certified,77038,NORTH AMERICAN COLLEGE,Clinical; Counseling; and School Psychologists,TURKEY
Aerospace,Certified,77041,STRESS ENGINEERING SERVICES; INC.,Materials Engineers,BRAZIL
Aerospace,Certified,77041,STRESS ENGINEERING SERVICES; INC.,Civil Engineers,INDIA
Aerospace,Certified,77041,STRESS ENGINEERING SERVICES; INC.,Mechanical Engineers,BRAZIL
Energy,Certified,77036,NATIONAL OILWELL VARCO; L.P.,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,77012,MV & SONS-TEXAS; L.P. D/B/A TIAN TIAN FOOD SERVICE,Accountants and Auditors,CHINA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,TUNISIA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,INDIA
Energy,Certified,77036,NATIONAL OILWELL VARCO; L.P.,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,77027,CAMERON INTERNATIONAL CORPORATION,Computer Systems Analysts,INDIA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,CHINA
Advanced Mfg,Certified,77041,PRO-PLASTICS; INC.,Electrical Engineers,CHINA
Not Available,Denied,77024,VANTAGE FORCE; INC.,Computer Software Engineers; Applications,INDIA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,CHINA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,CHINA
Geospatial,Certified,77072,CGGVERITAS SERVICES (US) INC.,Operations Research Analysts,CHINA
Finance,Certified,77002,DB PORTFOLIO SOUTHWEST INC.,Software Developers; Applications,INDIA
Advanced Mfg,Certified,77027,CAMERON INTERNATIONAL CORPORATION,Industrial Engineers,MEXICO
