Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Finance,Certified,02109,VIRTUA RESEARCH INC.,Market Research Analysts and Marketing Specialists,TURKEY
Finance,Certified,02109,SOVEREIGN BANK,Financial Managers,SPAIN
Health Care,Certified,02115,CHILDRENS HOSPITAL,Software Developers; Applications; Non R & D (ACWIA Only),INDIA
Finance,Certified,02109,SOVEREIGN BANK,Computer Systems Analysts,INDIA
IT,Certified,02116,SAPIENT CORPORATION,Computer and Information Systems Managers,INDIA
Finance,Certified,02109,FMR LLC,Software Developers; Applications,INDIA
Aerospace,Certified,02116,AIR WORLDWIDE,Civil Engineers,IRAN
Other Economic Sector,Certified,02110,WOOD MACKENZIE,Market Research Analysts and Marketing Specialists,INDIA
Finance,Certified,02109,FMR LLC,Software Developers; Applications,INDIA
Finance,Certified,02109,FMR LLC,Software Developers; Applications,IRELAND
Not Available,Certified,02116,AMERICAN TOWER CORPORATION,Database Administrators,INDIA
Finance,Certified,02111,STATE STREET BANK AND TRUST COMPANY,Financial Analysts,FRANCE
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
Finance,Certified,02210,FEDERAL RESERVE BANK OF BOSTON,Economists,SPAIN
Finance,Certified,02109,FMR LLC,Operations Research Analysts,LEBANON
Finance,Certified,02109,FMR LLC,Software Developers; Applications,INDIA
Finance,Certified,02109,FMR LLC,Database Administrators,INDIA
Finance,Certified,02109,FMR LLC,Software Developers; Applications,INDIA
IT,Certified,02116,SAPIENT CORPORATION,Software Developers; Applications,INDIA
Other Economic Sector,Certified,02108,COMMONWEALTH OF MASS. DEPARTMENT OF REVENUE,Computer and Information Systems Managers,INDIA
Finance,Certified,02116,AIR WORLDWIDE,Software Developers; Applications,MALAYSIA
Educational Services,Certified,02215,TRUSTEES OF BOSTON UNIVERSITY,Health Specialties Teachers; Postsecondary,ITALY
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
Educational Services,Certified,02125,UNIVERSITY OF MASSACHUSETTS BOSTON,Mathematical Science Teachers; Postsecondary,SERBIA AND MONTENEGRO
Other Economic Sector,Certified,02109,GOODWIN PROCTER LLP,Lawyers,CANADA
Other Economic Sector,Certified,02110,ENERNOC INC.,Computer and Information Systems Managers,CANADA
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
Other Economic Sector,Certified,02110,ALLIED MINDS,Financial Managers,BULGARIA
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
Finance,Certified,02109,FMR LLC,Software Developers; Applications,INDIA
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
Retail,Certified,02210,SMARTBARGAINS; INC.,Database Administrators,INDIA
IT,Certified,02116,SAPIENT CORPORATION,Computer Systems Analysts,INDIA
