Economic Sector,Status,Zipcode,Company,Job Title,Origin Country
Not Available,Certified,94085,SHORETEL; INC.,Marketing Managers,INDIA
IT,Certified,08830,PARAM CONSULTING SERVICES; INC.,Software Developers; Applications,INDIA
Automotive,Certified,48326,BROSE NORTH AMERICA INC,Electrical Engineers,GERMANY
Hospitality,Certified,90049,BRENTWOOD SUBWAY INC;,Cooks; Fast Food,MEXICO
IT,Certified,48167,TISCO GROUP INC,Industrial Engineers,INDIA
Educational Services,Certified,11201,NEW YORK CITY DEPARTMENT OF EDUCATION,Special Education Teachers; Secondary School,CANADA
Agribusiness,Certified,28166,CASE FARMS PROCESSING INC.,Meat; Poultry; and Fish Cutters and Trimmers,CHINA
IT,Certified,48331,VED SOFTWARE SERVICES; INC.,Software Developers; Applications,INDIA
IT,Certified,98052,MICROSOFT CORPORATION,Computer Software Engineers; Systems Software,CANADA
Advanced Mfg,Certified,95014,HEWLETT-PACKARD COMPANY,Human Resources Managers; All Other,CANADA
Advanced Mfg,Certified,92121,QUALCOMM; INC.,Computer Software Engineers; Systems Software,TURKEY
IT,Certified,22030,MULTIVISION INC.,Computer Software Engineers; Systems Software,INDIA
IT,Certified,22030,MULTIVISION INC.,Computer Software Engineers; Systems Software,INDIA
IT,Certified,77845,COGNIZANT TECHNOLOGY SOLUTIONS US CORPORATION,Computer Systems Analysts,INDIA
Advanced Mfg,Certified,46256,ENERDEL; INC.,Electronics Engineers; Except Computer,SOUTH KOREA
Finance,Certified,10104,GLEACHER & COMPANY SECURITIES;INC.,Financial Analysts,INDIA
Health Care,Certified,86505,NAVAJO HEALTH FOUNDATION - SAGE MEMORIAL HOSPITAL,Epidemiologists,PHILIPPINES
Educational Services,Certified,68901,HASTINGS COLLEGE,Foreign Language and Literature Teachers; Postsecondary,SPAIN
Other Economic Sector,Certified,97501,LA CLINICA DEL VALLE; FAMILY HEALTH CARE CENTER IN,Mental Health Counselors,MEXICO
IT,Certified,71106,ENTERPRISE COMPUTING SERVICES; LLC,Computer Programmers,NEPAL
Other Economic Sector,Certified,07652,LIVEU INC,Sales Managers,ISRAEL
Hospitality,Certified,80466,KATHMANDU RESTAURANT; INC,Cooks; Restaurant,NEPAL
Hospitality,Certified,80466,KATHMANDU RESTAURANT; INC,Cooks; Restaurant,NEPAL
Other Economic Sector,Certified,20814,BETHESDA TITLE & ESCROW,Market Research Analysts and Marketing Specialists*,VENEZUELA
IT,Certified,75202,AT&T; INC.; AND ALL OF ITS SUBSIDIARIES AND AFFILIATES,Computer and Information Research Scientists,SPAIN
Aerospace,Certified,90071,AECOM USA; INC.,Computer Software Engineers; Applications,INDIA
IT,Certified,10007,VERIZON COMMUNICATIONS INC.; & ALL ITS SUBSIDIARIES & AFFILIATES,Computer and Information Systems Managers,INDIA
Educational Services,Certified,02903,JOHNSON & WALES UNIVERSITY,Compliance Officers,INDIA
Other Economic Sector,Certified,36608,MEDICATH; LLC,Marketing Managers,TURKEY
