[['job_info_work_city', 'job_info_work_state']]
[['Redwood Shores', 'CALIFORNIA']]
[['Pittsburgh', 'PENNSYLVANIA']]
[['Redwood Shores', 'CALIFORNIA']]
[['Redmond', 'WASHINGTON']]
[['Vacaville', 'CALIFORNIA']]
[['Windsor', 'CONNECTICUT']]
[['East Orange', 'NEW JERSEY']]
[['Redmond', 'WASHINGTON']]
[['Boston', 'MASSACHUSETTS']]
[['Indianapolis', 'INDIANA']]
[['Anchorage', 'ALASKA']]
[['Teaneck', 'NEW JERSEY']]
[['New York', 'NEW YORK']]
[['Tampa', 'FLORIDA']]
[['Farmington', 'MICHIGAN']]
[['North Aurora', 'ILLINOIS']]
[['Irving', 'TEXAS']]
[['San Diego', 'CALIFORNIA']]
[['Rydal', 'PENNSYLVANIA']]
[['Redmond', 'WASHINGTON']]
[['Ballwin', 'MISSOURI']]
[['Phoenix', 'ARIZONA']]
[['San Diego', 'CALIFORNIA']]
[['Kent', 'OHIO']]
[['Des Plaines', 'ILLINOIS']]
[['NEW HOPE', 'PENNSYLVANIA']]
[['Houston', 'TEXAS']]
[['DAYTON', 'NEW JERSEY']]
[['Minneapolis', 'MINNESOTA']]
[['Sag Harbor', 'NEW YORK']]
[['New York', 'NEW YORK']]
[['Farmington Hills', 'MICHIGAN']]
[['Miamisburg', 'OHIO']]
[['Frisco', 'TEXAS']]
[['Basking Ridge', 'NEW JERSEY']]
[['Farmington Hills', 'MICHIGAN']]
[['Nanuet', 'NEW YORK']]
[['Hackensack', 'NEW JERSEY']]
[['Tewksbury', 'MASSACHUSETTS']]
[['Norman', 'OKLAHOMA']]
[['East Moline', 'ILLINOIS']]
[['Richardson', 'TEXAS']]
[['Southfield', 'MICHIGAN']]
[['Middletown', 'NEW JERSEY']]
[['Burlington', 'MASSACHUSETTS']]
[['Burlington', 'MASSACHUSETTS']]
[['Wilmington', 'DELAWARE']]
[['Jersey City', 'NEW JERSEY']]
[['Austin', 'TEXAS']]
[['Middletown', 'NEW JERSEY']]
[['Atlanta', 'GEORGIA']]
[['Redmond', 'WASHINGTON']]
[['Austin', 'TEXAS']]
[['Tampa', 'FLORIDA']]
[['San Jose', 'CALIFORNIA']]
[['Bellevue', 'WASHINGTON']]
[['New York', 'NEW YORK']]
[['Madison Heights', 'MICHIGAN']]
[['Oak Brook', 'ILLINOIS']]
[['San Diego', 'CALIFORNIA']]
[['Leon Valley', 'TEXAS']]
[['Tucson', 'ARIZONA']]
[['Westford', 'MASSACHUSETTS']]
[['Tampa', 'FLORIDA']]
[['BAYSIDE', 'NEW YORK']]
[['San Diego', 'CALIFORNIA']]
[['Jessup', 'MARYLAND']]
